"country","date","month","year","value","min","based_value"
"Antigua and Barbuda",Mar 2021,"03","2021",9.9101775893283,1.89704878633677,5.22399722173989
"Antigua and Barbuda",Apr 2021,"04","2021",12.2787490128802,1.89704878633677,6.47255310528448
"Antigua and Barbuda",May 2021,"05","2021",12.7186926010156,1.89704878633677,6.70446258030908
"Antigua and Barbuda",Jun 2021,"06","2021",12.8955286877434,1.89704878633677,6.79767899519593
"Antigua and Barbuda",Jul 2021,"07","2021",13.0049463595374,1.89704878633677,6.85535683278347
"Antigua and Barbuda",Aug 2021,"08","2021",14.7491507914966,1.89704878633677,7.77478728945998
"Antigua and Barbuda",Sep 2021,"09","2021",24.4764861258612,1.89704878633677,12.9024020373907
"Antigua and Barbuda",Oct 2021,"10","2021",39.0546971968872,1.89704878633677,20.5870810904671
"Antigua and Barbuda",Nov 2021,"11","2021",42.0094355036353,1.89704878633677,22.1446258030908
"Antigua and Barbuda",Dec 2021,"12","2021",42.7987250672647,1.89704878633677,22.5606876193784
"Argentina",Jan 2021,"01","2021",39.4787541265622,39.4787541265622,1
"Argentina",Feb 2021,"02","2021",44.8318181838727,39.4787541265622,1.13559354077258
"Argentina",Mar 2021,"03","2021",49.0438063601356,39.4787541265622,1.24228353820157
"Argentina",Apr 2021,"04","2021",58.5723986262404,39.4787541265622,1.48364354251067
"Argentina",May 2021,"05","2021",74.1041715668087,39.4787541265622,1.87706459350878
"Argentina",Jun 2021,"06","2021",92.2356359385819,39.4787541265622,2.33633603641316
"Argentina",Jul 2021,"07","2021",104.481782060759,39.4787541265622,2.64653189727841
"Argentina",Aug 2021,"08","2021",112.45269805885,39.4787541265622,2.8484358371175
"Argentina",Sep 2021,"09","2021",115.718169125993,39.4787541265622,2.93115048045894
"Argentina",Oct 2021,"10","2021",116.66305003559,39.4787541265622,2.9550843894817
"Argentina",Nov 2021,"11","2021",117.462827703276,39.4787541265622,2.97534282177978
"Argentina",Dec 2021,"12","2021",119.617412556616,39.4787541265622,3.02991862846387
"Armenia",Jan 2021,"01","2021",55.2586323133833,55.2586323133833,1
"Armenia",Feb 2021,"02","2021",57.1425389576774,55.2586323133833,1.03409253116527
"Armenia",Mar 2021,"03","2021",60.996293347937,55.2586323133833,1.10383284555459
"Armenia",Apr 2021,"04","2021",69.475489729577,55.2586323133833,1.25727848882627
"Armenia",May 2021,"05","2021",74.3737002947978,55.2586323133833,1.34592003423119
"Armenia",Jun 2021,"06","2021",75.5565372157582,55.2586323133833,1.36732550286915
"Armenia",Jul 2021,"07","2021",76.704958817118,55.2586323133833,1.38810816710244
"Armenia",Aug 2021,"08","2021",79.4506294310921,55.2586323133833,1.43779579958677
"Armenia",Sep 2021,"09","2021",84.8319887438297,55.2586323133833,1.53518075262394
"Armenia",Oct 2021,"10","2021",95.2562465154951,55.2586323133833,1.72382562737487
"Armenia",Nov 2021,"11","2021",110.620760965891,55.2586323133833,2.0018729442766
"Armenia",Dec 2021,"12","2021",115.679388389237,55.2586323133833,2.0934175086563
"Australia",Jan 2021,"01","2021",3.87676547021971,3.87676547021971,1
"Australia",Feb 2021,"02","2021",3.90675408592667,3.87676547021971,1.00773547327981
"Australia",Mar 2021,"03","2021",3.94059387319695,3.87676547021971,1.01646434468826
"Australia",Apr 2021,"04","2021",3.99111179164725,3.87676547021971,1.02949528990235
"Australia",May 2021,"05","2021",4.05218128890951,3.87676547021971,1.04524798315433
"Australia",Jun 2021,"06","2021",4.09865024430971,3.87676547021971,1.05723451052029
"Australia",Jul 2021,"07","2021",4.32791196597798,3.87676547021971,1.11637188249427
"Australia",Aug 2021,"08","2021",5.67286105900556,3.87676547021971,1.46329745830203
"Australia",Sep 2021,"09","2021",10.9844998137598,3.87676547021971,2.8334187090088
"Australia",Oct 2021,"10","2021",19.2386141367006,3.87676547021971,4.96254268783773
"Australia",Nov 2021,"11","2021",26.0294875774402,3.87676547021971,6.714228079411
"Australia",Dec 2021,"12","2021",35.705727238066,3.87676547021971,9.21018501437551
"Austria",Jan 2021,"01","2021",42.8524053146436,42.8524053146436,1
"Austria",Feb 2021,"02","2021",47.6841428634876,42.8524053146436,1.11275300682347
"Austria",Mar 2021,"03","2021",54.7626848864463,42.8524053146436,1.27793724726422
"Austria",Apr 2021,"04","2021",64.2314983419198,42.8524053146436,1.49890065377428
"Austria",May 2021,"05","2021",69.9214429595585,42.8524053146436,1.6316807060458
