"country","date","month","year","death_rate","min","based_dvalue"
"Andorra",Apr 2021,"04","2021",1.56905886667098,1.17108485042053,0.339833630421866
"Andorra",May 2021,"05","2021",1.642858783032,1.17108485042053,0.402852049910873
"Andorra",Jun 2021,"06","2021",1.64369378114282,1.17108485042053,0.403565062388592
"Andorra",Jul 2021,"07","2021",1.64452877925364,1.17108485042053,0.40427807486631
"Andorra",Aug 2021,"08","2021",1.66957872257814,1.17108485042053,0.425668449197861
"Andorra",Sep 2021,"09","2021",1.6825211932958,1.17108485042053,0.436720142602495
"Andorra",Oct 2021,"10","2021",1.6825211932958,1.17108485042053,0.436720142602495
"Andorra",Nov 2021,"11","2021",1.68554110312992,1.17108485042053,0.439298871063577
"Andorra",Dec 2021,"12","2021",1.75099103838278,1.17108485042053,0.495187165775401
"Angola",Jan 2021,"01","2021",0.0132315286829017,0.0132315286829017,0
"Angola",Feb 2021,"02","2021",0.0148839098929203,0.0132315286829017,0.124882109211907
"Angola",Mar 2021,"03","2021",0.015893342034139,0.0132315286829017,0.201172019879831
"Angola",Apr 2021,"04","2021",0.0170904709959768,0.0132315286829017,0.29164750389437
"Angola",May 2021,"05","2021",0.0205907751827458,0.0132315286829017,0.556190193605816
"Angola",Jun 2021,"06","2021",0.0255672472457171,0.0132315286829017,0.932297307321415
"Angola",Jul 2021,"07","2021",0.0290443881599605,0.0132315286829017,1.19508938506046
"Angola",Aug 2021,"08","2021",0.0337270988895892,0.0132315286829017,1.54899488168533
"Angola",Sep 2021,"09","2021",0.0418930030834857,0.0132315286829017,2.1661498899686
"Angola",Oct 2021,"10","2021",0.0502839312723405,0.0132315286829017,2.80031154958831
"Angola",Nov 2021,"11","2021",0.0525168642005029,0.0132315286829017,2.96907004920505
"Angola",Dec 2021,"12","2021",0.052989911880512,0.0132315286829017,3.00482160077146
"Antigua and Barbuda",Jan 2021,"01","2021",0.0576460388277365,0.0576460388277365,0
"Antigua and Barbuda",Feb 2021,"02","2021",0.101751140779815,0.0576460388277365,0.765102040816326
"Antigua and Barbuda",Mar 2021,"03","2021",0.253642570842041,0.0576460388277365,3.4
"Antigua and Barbuda",Apr 2021,"04","2021",0.310091768101735,0.0576460388277365,4.3792380952381
"Antigua and Barbuda",May 2021,"05","2021",0.376840390965318,0.0576460388277365,5.53714285714286
"Antigua and Barbuda",Jun 2021,"06","2021",0.42888652887836,0.0576460388277365,6.44
"Antigua and Barbuda",Jul 2021,"07","2021",0.431521776367628,0.0576460388277365,6.48571428571429
"Antigua and Barbuda",Aug 2021,"08","2021",0.43975692477159,0.0576460388277365,6.62857142857143
"Antigua and Barbuda",Sep 2021,"09","2021",0.553808240067533,0.0576460388277365,8.60704761904762
"Antigua and Barbuda",Oct 2021,"10","2021",0.959230086093535,0.0576460388277365,15.64
"Antigua and Barbuda",Nov 2021,"11","2021",1.11340304441358,0.0576460388277365,18.3144761904762
"Antigua and Barbuda",Dec 2021,"12","2021",1.1983787957446,0.0576460388277365,19.7885714285714
"Argentina",Jan 2021,"01","2021",1.00782182199414,1.00782182199414,0
"Argentina",Feb 2021,"02","2021",1.1124688232961,1.00782182199414,0.103834823793458
"Argentina",Mar 2021,"03","2021",1.19539786834223,1.00782182199414,0.186120246907285
"Argentina",Apr 2021,"04","2021",1.30871297997598,1.00782182199414,0.298555906823377
"Argentina",May 2021,"05","2021",1.56740521961142,1.00782182199414,0.555240405997615
"Argentina",Jun 2021,"06","2021",1.91846021366111,1.00782182199414,0.903570821541783
"Argentina",Jul 2021,"07","2021",2.22722849926101,1.00782182199414,1.20994272068259
"Argentina",Aug 2021,"08","2021",2.41488377082436,1.00782182199414,1.39614157792905
"Argentina",Sep 2021,"09","2021",2.51877220003689,1.00782182199414,1.499223716999
"Argentina",Oct 2021,"10","2021",2.55843986086034,1.00782182199414,1.53858351250825
"Argentina",Nov 2021,"11","2021",2.57286722459342,1.00782182199414,1.55289890379889
"Argentina",Dec 2021,"12","2021",2.58569690361029,1.00782182199414,1.5656290101896
