Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
290881,3,2,1,1,2,2,2,2,1
290883,4,2,1,1,2,3,1,2,1
290885,4,2,2,2,1,2,5,2,1
290889,7,2,1,2,3,4,4,1,1
290890,4,2,4,1,3,1,2,1,0
290892,5,2,1,2,3,1,2,1,1
290893,3,2,1,2,1,3,2,1,1
290895,3,1,1,2,1,5,1,2,0
290896,4,1,4,2,4,1,2,2,1
290901,3,1,1,1,4,1,3,2,1
290902,7,2,1,2,3,2,1,1,1
290904,4,2,1,2,2,4,1,1,1
290905,4,1,1,1,2,1,4,1,1
290909,7,1,1,2,4,3,5,1,1
290913,7,1,2,2,4,4,2,1,1
290915,2,2,1,2,1,4,2,1,1
290918,7,1,1,2,4,4,1,1,1
290919,6,2,2,2,2,2,2,1,1
290920,3,1,1,1,1,4,1,1,1
290929,2,1,4,2,3,3,5,2,1
290933,3,2,1,1,2,1,1,1,1
290935,6,2,2,2,3,3,2,1,1
290939,7,1,1,2,1,5,3,1,1
290941,2,1,4,2,1,3,6,1,1
290942,3,1,1,1,1,5,1,1,1
290946,4,1,1,1,1,4,1,1,1
290951,3,2,1,2,1,4,3,1,1
290953,6,2,1,1,1,2,2,1,1
290954,7,1,2,2,4,5,1,1,1
290958,5,2,3,2,3,4,4,1,1
290959,2,1,1,1,1,3,1,1,1
290963,6,1,2,2,4,3,2,2,1
290964,7,1,1,2,4,5,1,1,0
290965,3,2,4,2,2,5,2,1,1
290969,4,2,1,1,1,1,2,1,1
290977,1,2,4,2,3,5,2,1,0
290979,2,2,4,2,1,5,2,1,1
290981,5,1,3,2,2,4,1,2,1
290982,4,2,4,2,2,5,1,1,1
290983,2,1,4,2,2,3,1,1,1
290992,7,1,3,2,3,3,1,1,1
290999,2,1,4,2,1,3,2,2,1
291002,7,1,1,2,3,5,1,1,1
291011,3,2,1,1,1,1,2,1,1
291015,3,2,4,1,3,3,5,2,1
291021,7,1,1,2,4,1,1,1,1
291028,2,2,1,1,4,1,4,2,0
291031,5,2,1,2,1,4,1,1,1
291033,6,2,2,2,1,4,3,1,1
291034,6,2,3,2,2,4,1,1,1
291035,7,1,1,2,4,2,2,1,1
291037,4,2,1,2,3,1,1,2,0
291040,2,2,1,1,1,2,2,1,1
291041,7,1,1,2,2,3,2,1,1
291047,4,2,2,1,4,1,4,1,1
291050,2,1,4,2,1,5,1,1,1
291051,2,1,1,1,3,4,5,2,1
291052,7,1,1,2,2,4,1,1,1
291059,6,1,2,2,3,2,5,2,0
291061,2,2,1,1,2,4,2,1,1
291062,2,1,4,2,1,5,1,1,1
291063,6,2,2,2,2,3,1,1,1
291065,7,2,2,2,2,1,5,2,1
291066,2,2,1,2,1,1,5,2,1
291067,4,2,1,1,1,5,5,1,1
291074,7,2,3,2,2,5,1,1,1
291075,7,2,3,2,4,4,1,2,1
291078,2,1,4,2,3,4,2,2,1
291079,5,2,1,2,1,1,1,1,1
291081,7,1,1,2,4,3,2,2,1
291086,7,1,1,2,4,2,4,2,1
291089,3,2,1,1,1,1,2,1,1
291091,3,1,1,1,2,4,1,1,1
291095,5,2,1,2,3,2,5,2,1
291097,3,1,4,2,2,2,1,1,1
291104,7,2,2,2,1,2,3,1,1
291105,3,2,1,2,2,3,5,2,1
291109,6,1,1,2,3,4,5,2,1
291114,7,1,1,2,4,3,2,1,1
291115,4,1,1,2,3,4,1,1,1
291118,6,2,2,2,4,1,5,2,0
291121,7,2,4,2,2,1,1,1,1
291125,7,2,1,2,2,5,1,1,1
291126,7,2,3,2,3,5,2,1,1
291130,7,2,3,2,3,5,3,1,1
291133,3,2,1,1,2,2,3,1,1
291134,6,2,2,2,4,4,1,1,1
291136,7,1,1,2,1,5,3,1,1
291143,1,2,4,2,3,2,2,1,0
291144,2,2,1,1,1,1,2,1,1
291145,1,1,4,2,1,2,2,1,1
291148,5,2,2,2,1,3,4,2,1
291149,7,1,2,2,1,2,5,2,1
291161,3,1,1,2,1,5,1,1,1
291163,4,1,1,1,4,4,2,1,1
291164,7,2,2,2,1,4,3,1,1
291174,5,1,4,2,4,2,2,2,0
291176,3,1,1,1,2,3,1,1,1
291179,1,2,4,1,2,2,2,2,1
291182,7,1,1,2,4,4,1,2,1
291183,7,2,3,2,3,2,1,1,1
291184,2,2,4,1,2,1,2,1,0
291186,4,1,1,2,3,4,4,1,1
291188,7,2,1,2,4,3,1,1,0
291191,1,2,1,2,2,1,1,1,1
291193,7,1,1,2,2,4,3,1,1
291194,5,1,1,1,2,4,2,1,0
291196,4,2,1,1,4,1,2,1,1
291199,2,1,1,1,4,2,5,2,0
291205,5,1,1,2,4,3,5,2,1
291211,4,2,1,2,3,5,2,1,1
291214,4,1,1,1,3,2,2,1,1
291215,3,1,4,2,3,1,3,2,1
291216,7,2,3,2,2,5,2,1,1
291219,2,1,1,2,1,5,1,1,1
291223,2,1,4,2,2,1,2,1,1
291228,3,1,4,2,3,3,1,2,1
291230,3,1,1,2,1,3,5,2,1
291233,3,1,4,1,1,3,3,1,1
291235,7,1,1,2,1,1,1,1,1
291236,2,2,4,1,2,4,1,1,1
291237,4,1,1,1,1,5,1,1,1
291238,4,2,2,1,3,3,5,1,1
291244,2,2,1,1,3,2,2,2,0
291246,7,1,1,2,4,4,1,1,1
291248,6,1,1,2,1,5,4,1,1
291256,4,1,1,1,1,1,5,2,1
291258,4,2,2,2,3,3,5,2,1
291259,2,2,1,1,3,2,5,2,1
291260,2,2,4,2,1,5,2,1,1
291263,4,2,4,1,3,2,1,1,1
291264,7,1,1,2,3,3,3,1,1
291270,3,2,4,2,1,2,5,2,1
291271,6,1,2,2,3,5,1,1,1
291280,6,1,2,1,3,2,4,1,0
291289,5,2,1,2,1,4,1,1,1
291290,2,2,1,2,2,4,1,1,1
291295,1,1,1,1,2,4,2,1,1
291299,2,1,1,2,4,4,5,2,1
291301,4,2,2,2,2,5,1,1,1
291312,6,1,1,1,2,5,3,1,1
291313,4,2,4,2,1,4,2,1,1
291315,4,2,1,1,1,5,1,1,1
291316,5,1,1,2,1,5,1,1,1
291317,4,2,1,2,2,1,2,1,0
291319,2,2,2,1,3,2,5,2,1
291321,4,1,1,1,1,5,3,1,1
291326,3,2,1,1,3,2,5,2,1
291328,6,2,1,2,3,2,2,1,1
291338,4,1,4,2,2,1,3,1,1
291341,4,1,1,1,1,3,1,2,1
291347,4,1,4,2,1,1,2,1,1
291349,5,2,2,1,4,1,5,2,0
291350,4,2,1,1,3,2,2,1,1
291352,3,1,4,2,1,4,3,2,1
291353,2,1,4,2,3,3,2,2,1
291356,7,1,2,2,4,1,2,1,0
291358,3,1,4,2,1,5,4,1,0
291368,6,2,2,2,4,1,2,1,0
291370,3,1,1,1,3,3,1,1,1
291381,3,1,1,1,1,5,1,1,1
291389,6,2,4,2,4,4,2,1,1
291393,3,2,2,1,3,1,2,2,0
291400,6,1,1,2,3,2,2,1,1
291403,2,2,4,2,2,2,1,2,1
291404,2,2,1,1,1,4,2,2,1
291407,4,2,4,2,2,2,5,1,1
291421,3,2,1,1,1,1,2,2,1
291425,7,2,3,2,2,4,2,1,1
291427,3,2,1,1,3,1,5,1,1
291436,6,1,1,2,1,5,1,1,1
291439,4,2,4,1,3,1,5,2,0
291447,1,2,4,2,2,5,3,1,1
291448,4,2,2,2,3,5,1,2,1
291455,5,2,1,2,3,1,1,1,1
291458,7,1,1,2,2,5,1,1,1
291461,7,1,1,2,4,5,1,1,0
291462,7,2,3,2,4,3,1,1,1
291464,6,2,2,2,2,3,3,1,1
291465,6,1,1,1,2,4,1,1,1
291467,6,1,2,2,2,3,2,1,1
291481,6,1,1,2,2,4,1,1,1
291495,7,2,2,2,1,3,2,2,1
291496,7,2,2,1,4,2,2,1,0
291500,2,2,1,1,2,1,2,2,1
291502,3,1,1,2,3,5,4,2,0
291508,4,1,4,2,2,5,2,1,1
291509,7,1,1,2,2,4,1,1,1
291516,3,2,1,1,1,2,5,2,1
291517,3,2,1,2,1,5,2,1,1
291528,5,1,1,2,1,5,1,1,0
291529,7,1,4,2,4,4,2,2,1
291531,4,1,1,1,3,3,2,1,1
291534,2,2,4,2,2,3,5,2,1
291538,3,1,4,2,3,1,2,1,1
291539,5,2,1,1,1,1,3,1,1
291540,6,2,3,2,1,3,2,1,1
291542,3,2,1,1,1,1,2,1,1
291547,5,1,1,2,1,5,1,1,1
291551,6,2,1,2,4,5,1,1,1
291553,4,2,1,1,2,1,1,1,1
291555,3,1,1,1,2,1,1,1,1
291559,2,2,1,1,3,2,5,1,0
291560,1,2,1,1,4,2,5,2,0
291563,7,1,1,2,1,4,3,1,1
291571,3,2,1,1,3,2,2,1,1
291573,4,1,1,2,4,3,5,1,0
291579,4,2,1,2,3,3,1,1,1
291581,3,1,2,2,2,5,2,1,1
291584,6,2,2,2,1,5,1,1,1
291587,2,2,4,1,2,1,2,2,1
291589,2,1,1,1,2,3,5,2,1
291590,3,1,4,2,3,1,1,2,1
291591,7,2,3,2,3,4,1,1,1
291597,3,2,1,1,1,4,2,1,1
291598,3,1,1,2,1,5,1,1,1
291602,2,1,1,1,2,5,2,2,1
291605,4,1,1,2,3,2,2,2,0
291606,3,1,1,2,3,4,2,2,0
291610,3,2,1,1,2,1,1,1,1
291613,6,1,1,2,3,1,4,2,1
291615,7,1,2,2,4,4,1,1,1
291618,4,1,1,1,3,1,2,1,1
291621,7,1,1,2,1,4,1,1,1
291623,1,2,4,2,1,5,2,1,1
291625,3,1,4,2,2,5,3,1,1
291626,3,1,1,1,4,2,2,1,1
291629,7,2,3,2,3,4,1,1,1
291635,7,2,4,1,2,2,1,1,1
291636,7,1,1,1,1,2,1,1,0
291637,2,2,4,2,2,5,2,1,1
291640,7,2,1,2,3,4,2,1,0
291642,2,1,4,2,1,3,2,2,1
291646,2,2,1,1,3,1,2,2,0
291648,6,2,1,2,3,4,4,1,1
291650,7,1,4,2,3,5,3,1,1
291651,7,2,3,2,4,1,1,1,1
291652,2,2,1,2,1,3,2,1,1
291653,7,1,2,2,3,5,2,1,1
291656,4,2,1,2,2,4,1,1,1
291660,5,1,1,2,2,5,2,1,1
291668,7,2,2,2,4,3,1,1,1
291670,3,2,1,2,4,3,2,1,1
291671,4,1,2,2,2,1,2,1,1
291673,2,2,1,1,3,2,2,2,1
291674,4,2,1,2,3,2,6,1,1
291675,4,1,4,2,3,3,2,1,1
291679,7,2,2,2,4,2,2,1,1
291681,2,1,2,2,1,1,6,1,1
291684,7,1,3,2,1,5,1,1,1
291687,3,2,1,1,1,1,2,1,1
291688,2,1,4,2,1,5,2,1,1
291696,2,1,4,2,1,3,2,2,1
291703,7,2,4,2,4,1,1,1,1
291704,2,1,1,1,1,2,3,1,1
291705,7,1,1,2,2,4,1,1,1
291706,5,2,2,2,3,1,1,1,1
291707,3,2,1,1,2,5,3,1,1
291708,7,1,3,2,2,5,2,1,1
291710,4,2,4,2,1,5,5,1,1
291713,5,2,1,1,3,4,1,1,1
291717,7,1,2,2,4,1,2,1,0
291718,2,2,1,1,2,1,2,1,0
291731,2,2,1,2,1,2,5,2,1
291734,4,1,4,2,2,5,2,1,1
