Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
290958,55,2,3,2,3,4,4,1,1
290959,25,1,1,1,1,3,1,1,1
290963,60,1,2,2,4,3,2,2,1
290964,65,1,1,2,4,5,1,1,0
290965,35,2,4,2,2,5,2,1,1
290969,45,2,1,1,1,1,2,1,1
290977,18,2,4,2,3,5,2,1,0
290979,25,2,4,2,1,5,2,1,1
290981,55,1,3,2,2,4,1,2,1
290982,45,2,4,2,2,5,1,1,1
290983,25,1,4,2,2,3,1,1,1
290992,65,1,3,2,3,3,1,1,1
290999,25,1,4,2,1,3,2,2,1
291002,65,1,1,2,3,5,1,1,1
291011,35,2,1,1,1,1,2,1,1
291015,35,2,4,1,3,3,5,2,1
291021,65,1,1,2,4,1,1,1,1
291028,25,2,1,1,4,1,4,2,0
291031,55,2,1,2,1,4,1,1,1
291033,60,2,2,2,1,4,3,1,1
291034,60,2,3,2,2,4,1,1,1
291035,65,1,1,2,4,2,2,1,1
291037,45,2,1,2,3,1,1,2,0
291040,25,2,1,1,1,2,2,1,1
291041,65,1,1,2,2,3,2,1,1
291047,45,2,2,1,4,1,4,1,1
291050,25,1,4,2,1,5,1,1,1
291051,25,1,1,1,3,4,5,2,1
291052,65,1,1,2,2,4,1,1,1
291059,60,1,2,2,3,2,5,2,0
291061,25,2,1,1,2,4,2,1,1
291062,25,1,4,2,1,5,1,1,1
291063,60,2,2,2,2,3,1,1,1
291065,65,2,2,2,2,1,5,2,1
291066,25,2,1,2,1,1,5,2,1
291067,45,2,1,1,1,5,5,1,1
291074,65,2,3,2,2,5,1,1,1
291075,65,2,3,2,4,4,1,2,1
291078,25,1,4,2,3,4,2,2,1
291079,55,2,1,2,1,1,1,1,1
291081,65,1,1,2,4,3,2,2,1
291086,65,1,1,2,4,2,4,2,1
291089,35,2,1,1,1,1,2,1,1
291091,35,1,1,1,2,4,1,1,1
291095,55,2,1,2,3,2,5,2,1
291097,35,1,4,2,2,2,1,1,1
291104,65,2,2,2,1,2,3,1,1
291105,35,2,1,2,2,3,5,2,1
291109,60,1,1,2,3,4,5,2,1
291114,65,1,1,2,4,3,2,1,1
291115,45,1,1,2,3,4,1,1,1
291118,60,2,2,2,4,1,5,2,0
291121,65,2,4,2,2,1,1,1,1
291125,65,2,1,2,2,5,1,1,1
291126,65,2,3,2,3,5,2,1,1
291130,65,2,3,2,3,5,3,1,1
291133,35,2,1,1,2,2,3,1,1
291134,60,2,2,2,4,4,1,1,1
291136,65,1,1,2,1,5,3,1,1
291143,18,2,4,2,3,2,2,1,0
291144,25,2,1,1,1,1,2,1,1
291145,18,1,4,2,1,2,2,1,1
291148,55,2,2,2,1,3,4,2,1
291149,65,1,2,2,1,2,5,2,1
291161,35,1,1,2,1,5,1,1,1
291163,45,1,1,1,4,4,2,1,1
291164,65,2,2,2,1,4,3,1,1
291174,55,1,4,2,4,2,2,2,0
291176,35,1,1,1,2,3,1,1,1
291179,18,2,4,1,2,2,2,2,1
291182,65,1,1,2,4,4,1,2,1
291183,65,2,3,2,3,2,1,1,1
291184,25,2,4,1,2,1,2,1,0
291186,45,1,1,2,3,4,4,1,1
291188,65,2,1,2,4,3,1,1,0
291191,18,2,1,2,2,1,1,1,1
291193,65,1,1,2,2,4,3,1,1
291194,55,1,1,1,2,4,2,1,0
291196,45,2,1,1,4,1,2,1,1
291199,25,1,1,1,4,2,5,2,0
291205,55,1,1,2,4,3,5,2,1
291211,45,2,1,2,3,5,2,1,1
291214,45,1,1,1,3,2,2,1,1
291215,35,1,4,2,3,1,3,2,1
291216,65,2,3,2,2,5,2,1,1
291219,25,1,1,2,1,5,1,1,1
291223,25,1,4,2,2,1,2,1,1
291228,35,1,4,2,3,3,1,2,1
291230,35,1,1,2,1,3,5,2,1
291233,35,1,4,1,1,3,3,1,1
291235,65,1,1,2,1,1,1,1,1
291236,25,2,4,1,2,4,1,1,1
291237,45,1,1,1,1,5,1,1,1
291238,45,2,2,1,3,3,5,1,1
291244,25,2,1,1,3,2,2,2,0
291246,65,1,1,2,4,4,1,1,1
291248,60,1,1,2,1,5,4,1,1
291256,45,1,1,1,1,1,5,2,1
291258,45,2,2,2,3,3,5,2,1
291259,25,2,1,1,3,2,5,2,1
291260,25,2,4,2,1,5,2,1,1
291263,45,2,4,1,3,2,1,1,1
291264,65,1,1,2,3,3,3,1,1
291270,35,2,4,2,1,2,5,2,1
291271,60,1,2,2,3,5,1,1,1
291280,60,1,2,1,3,2,4,1,0
291289,55,2,1,2,1,4,1,1,1
291290,25,2,1,2,2,4,1,1,1
291295,18,1,1,1,2,4,2,1,1
291299,25,1,1,2,4,4,5,2,1
291301,45,2,2,2,2,5,1,1,1
291312,60,1,1,1,2,5,3,1,1
291313,45,2,4,2,1,4,2,1,1
291315,45,2,1,1,1,5,1,1,1
291316,55,1,1,2,1,5,1,1,1
291317,45,2,1,2,2,1,2,1,0
291319,25,2,2,1,3,2,5,2,1
291321,45,1,1,1,1,5,3,1,1
291326,35,2,1,1,3,2,5,2,1
291328,60,2,1,2,3,2,2,1,1
291338,45,1,4,2,2,1,3,1,1
291341,45,1,1,1,1,3,1,2,1
291347,45,1,4,2,1,1,2,1,1
291349,55,2,2,1,4,1,5,2,0
291350,45,2,1,1,3,2,2,1,1
291352,35,1,4,2,1,4,3,2,1
291353,25,1,4,2,3,3,2,2,1
291356,65,1,2,2,4,1,2,1,0
291358,35,1,4,2,1,5,4,1,0
291368,60,2,2,2,4,1,2,1,0
291370,35,1,1,1,3,3,1,1,1
291381,35,1,1,1,1,5,1,1,1
291389,60,2,4,2,4,4,2,1,1
291393,35,2,2,1,3,1,2,2,0
291400,60,1,1,2,3,2,2,1,1
291403,25,2,4,2,2,2,1,2,1
291404,25,2,1,1,1,4,2,2,1
291407,45,2,4,2,2,2,5,1,1
291421,35,2,1,1,1,1,2,2,1
291425,65,2,3,2,2,4,2,1,1
291427,35,2,1,1,3,1,5,1,1
291436,60,1,1,2,1,5,1,1,1
291439,45,2,4,1,3,1,5,2,0
291447,18,2,4,2,2,5,3,1,1
291448,45,2,2,2,3,5,1,2,1
291455,55,2,1,2,3,1,1,1,1
291458,65,1,1,2,2,5,1,1,1
291461,65,1,1,2,4,5,1,1,0
291462,65,2,3,2,4,3,1,1,1
291464,60,2,2,2,2,3,3,1,1
291465,60,1,1,1,2,4,1,1,1
291467,60,1,2,2,2,3,2,1,1
291481,60,1,1,2,2,4,1,1,1
291495,65,2,2,2,1,3,2,2,1
291496,65,2,2,1,4,2,2,1,0
291500,25,2,1,1,2,1,2,2,1
291502,35,1,1,2,3,5,4,2,0
291508,45,1,4,2,2,5,2,1,1
291509,65,1,1,2,2,4,1,1,1
291516,35,2,1,1,1,2,5,2,1
291517,35,2,1,2,1,5,2,1,1
