"country","date","month","year","covid_rate","death_rate"
"Bolivia",May 2021,"05","2021",0.029,0.001
"Bolivia",Nov 2021,"11","2021",0.045,0.002
"Bolivia",Oct 2021,"10","2021",0.043,0.002
"Bolivia",Sep 2021,"09","2021",0.042,0.002
"Bosnia and Herzegovina",Apr 2021,"04","2021",0.057,0.002
"Bosnia and Herzegovina",Aug 2021,"08","2021",0.064,0.003
"Bosnia and Herzegovina",Dec 2021,"12","2021",0.086,0.004
"Bosnia and Herzegovina",Feb 2021,"02","2021",0.038,0.001
"Bosnia and Herzegovina",Jan 2021,"01","2021",0.036,0.001
"Bosnia and Herzegovina",Jul 2021,"07","2021",0.063,0.003
"Bosnia and Herzegovina",Jun 2021,"06","2021",0.062,0.003
"Bosnia and Herzegovina",Mar 2021,"03","2021",0.045,0.002
"Bosnia and Herzegovina",May 2021,"05","2021",0.062,0.003
"Bosnia and Herzegovina",Nov 2021,"11","2021",0.081,0.004
"Bosnia and Herzegovina",Oct 2021,"10","2021",0.074,0.003
"Bosnia and Herzegovina",Sep 2021,"09","2021",0.068,0.003
"Botswana",Apr 2021,"04","2021",0.019,0
"Botswana",Aug 2021,"08","2021",0.059,0.001
"Botswana",Dec 2021,"12","2021",0.086,0.001
"Botswana",Feb 2021,"02","2021",0.011,0
"Botswana",Jan 2021,"01","2021",0.008,0
"Botswana",Jul 2021,"07","2021",0.037,0.001
"Botswana",Jun 2021,"06","2021",0.026,0
"Botswana",Mar 2021,"03","2021",0.015,0
"Botswana",May 2021,"05","2021",0.021,0
"Botswana",Nov 2021,"11","2021",0.082,0.001
"Botswana",Oct 2021,"10","2021",0.078,0.001
"Botswana",Sep 2021,"09","2021",0.072,0.001
"Brazil",Apr 2021,"04","2021",4.59,0.122
"Brazil",Aug 2021,"08","2021",6.8,0.19
"Brazil",Dec 2021,"12","2021",7.404,0.206
"Brazil",Feb 2021,"02","2021",3.296,0.08
"Brazil",Jan 2021,"01","2021",2.812,0.07
"Brazil",Jul 2021,"07","2021",6.435,0.18
"Brazil",Jun 2021,"06","2021",5.876,0.164
"Brazil",Mar 2021,"03","2021",3.888,0.095
"Brazil",May 2021,"05","2021",5.216,0.145
"Brazil",Nov 2021,"11","2021",7.325,0.204
"Brazil",Oct 2021,"10","2021",7.216,0.201
"Brazil",Sep 2021,"09","2021",7.042,0.196
"Brunei",Apr 2021,"04","2021",0.001,0
"Brunei",Aug 2021,"08","2021",0.003,0
"Brunei",Dec 2021,"12","2021",0.035,0
"Brunei",Feb 2021,"02","2021",0,0
"Brunei",Jan 2021,"01","2021",0,0
"Brunei",Jul 2021,"07","2021",0.001,0
"Brunei",Jun 2021,"06","2021",0.001,0
"Brunei",Mar 2021,"03","2021",0,0
"Brunei",May 2021,"05","2021",0.001,0
"Brunei",Nov 2021,"11","2021",0.033,0
"Brunei",Oct 2021,"10","2021",0.024,0
"Brunei",Sep 2021,"09","2021",0.011,0
"Bulgaria",Apr 2021,"04","2021",0.055,0.002
"Bulgaria",Aug 2021,"08","2021",0.063,0.003
"Bulgaria",Dec 2021,"12","2021",0.104,0.004
"Bulgaria",Feb 2021,"02","2021",0.033,0.001
"Bulgaria",Jan 2021,"01","2021",0.03,0.001
"Bulgaria",Jul 2021,"07","2021",0.061,0.003
"Bulgaria",Jun 2021,"06","2021",0.061,0.003
"Bulgaria",Mar 2021,"03","2021",0.042,0.002
"Bulgaria",May 2021,"05","2021",0.059,0.002
"Bulgaria",Nov 2021,"11","2021",0.095,0.004
"Bulgaria",Oct 2021,"10","2021",0.079,0.003
"Bulgaria",Sep 2021,"09","2021",0.069,0.003
"Burkina Faso",Apr 2021,"04","2021",0.001,0
"Burkina Faso",Aug 2021,"08","2021",0.001,0
"Burkina Faso",Dec 2021,"12","2021",0.001,0
"Burkina Faso",Feb 2021,"02","2021",0.001,0
"Burkina Faso",Jan 2021,"01","2021",0,0
"Burkina Faso",Jul 2021,"07","2021",0.001,0
"Burkina Faso",Jun 2021,"06","2021",0.001,0
"Burkina Faso",Mar 2021,"03","2021",0.001,0
"Burkina Faso",May 2021,"05","2021",0.001,0
"Burkina Faso",Nov 2021,"11","2021",0.001,0
"Burkina Faso",Oct 2021,"10","2021",0.001,0
"Burkina Faso",Sep 2021,"09","2021",0.001,0
"Burma",Apr 2021,"04","2021",0.003,0
"Burma",Aug 2021,"08","2021",0.007,0
"Burma",Dec 2021,"12","2021",0.01,0
"Burma",Feb 2021,"02","2021",0.003,0
"Burma",Jan 2021,"01","2021",0.002,0
"Burma",Jul 2021,"07","2021",0.004,0
"Burma",Jun 2021,"06","2021",0.003,0
"Burma",Mar 2021,"03","2021",0.003,0
"Burma",May 2021,"05","2021",0.003,0
"Burma",Nov 2021,"11","2021",0.009,0
"Burma",Oct 2021,"10","2021",0.009,0
"Burma",Sep 2021,"09","2021",0.008,0
"Burundi",Apr 2021,"04","2021",0,0
"Burundi",Aug 2021,"08","2021",0.001,0
"Burundi",Dec 2021,"12","2021",0.002,0
"Burundi",Feb 2021,"02","2021",0,0
"Burundi",Jan 2021,"01","2021",0,0
"Burundi",Jul 2021,"07","2021",0.001,0
"Burundi",Jun 2021,"06","2021",0,0
"Burundi",Mar 2021,"03","2021",0,0
"Burundi",May 2021,"05","2021",0,0
"Burundi",Nov 2021,"11","2021",0.002,0
"Burundi",Oct 2021,"10","2021",0.002,0
"Burundi",Sep 2021,"09","2021",0.001,0
"Cabo Verde",Apr 2021,"04","2021",0.036,0
"Cabo Verde",Aug 2021,"08","2021",0.062,0.001
