country,date,month,year,value1,value2,,initial_value,growth_rate
Azerbaijan,01/10/2021,10,2021,0.04963021,0.04963021,0.089055429,0.02229129,1.226439576
Azerbaijan,01/11/2021,11,2021,0.055473231,0.055473231,0.117731136,0.02229129,1.488560837
Azerbaijan,01/12/2021,12,2021,0.05980353,0.05980353,0.078061042,0.02229129,1.682820489
Bahamas,01/01/2021,1,2021,0.020439946,0.020439946,-0.658215062,0.020439946,0
Bahamas,01/02/2021,2,2021,0.021246135,0.021246135,0.039441843,0.020439946,0.039441843
Bahamas,01/03/2021,3,2021,0.022295378,0.022295378,0.049385147,0.020439946,0.090774831
Bahamas,01/04/2021,4,2021,0.024551089,0.024551089,0.10117392,0.020439946,0.201132796
Bahamas,01/05/2021,5,2021,0.028324981,0.028324981,0.153715847,0.020439946,0.385765941
Bahamas,01/06/2021,6,2021,0.031033851,0.031033851,0.095635402,0.020439946,0.518294225
Bahamas,01/07/2021,7,2021,0.034273127,0.034273127,0.104378786,0.020439946,0.676771933
Bahamas,01/08/2021,8,2021,0.041972036,0.041972036,0.224633987,0.020439946,1.053431898
Bahamas,01/09/2021,9,2021,0.050193856,0.050193856,0.195888024,0.020439946,1.455674614
Bahamas,01/10/2021,10,2021,0.055430178,0.055430178,0.10432197,0.020439946,1.711855428
Bahamas,01/11/2021,11,2021,0.057474333,0.057474333,0.036878033,0.020439946,1.811863321
Bahamas,01/12/2021,12,2021,0.058926125,0.058926125,0.025259818,0.020439946,1.882890475
Bahrain,01/01/2021,1,2021,0.05730404,0.05730404,-0.027527424,0.05730404,0
Bahrain,01/02/2021,2,2021,0.066429844,0.066429844,0.159252359,0.05730404,0.159252359
Bahrain,01/03/2021,3,2021,0.078096538,0.078096538,0.175624296,0.05730404,0.362845238
Bahrain,01/04/2021,4,2021,0.094773886,0.094773886,0.213547849,0.05730404,0.653877906
Bahrain,01/05/2021,5,2021,0.120163363,0.120163363,0.267895281,0.05730404,1.096943993
Bahrain,01/06/2021,6,2021,0.15183583,0.15183583,0.263578399,0.05730404,1.649653134
Bahrain,01/07/2021,7,2021,0.157299978,0.157299978,0.03598721,0.05730404,1.745006757
Bahrain,01/08/2021,8,2021,0.159242836,0.159242836,0.012351297,0.05730404,1.778911152
Bahrain,01/09/2021,9,2021,0.160997808,0.160997808,0.011020727,0.05730404,1.809536772
Bahrain,01/10/2021,10,2021,0.162220898,0.162220898,0.007596936,0.05730404,1.830880643
Bahrain,01/11/2021,11,2021,0.162946014,0.162946014,0.004469926,0.05730404,1.84353447
Bahrain,01/12/2021,12,2021,0.163818955,0.163818955,0.005357241,0.05730404,1.85876797
Bangladesh,01/01/2021,1,2021,0.003194945,0.003194945,-0.980497099,0.003194945,0
Bangladesh,01/02/2021,2,2021,0.003284471,0.003284471,0.028021139,0.003194945,0.028021139
Bangladesh,01/03/2021,3,2021,0.003444077,0.003444077,0.048594058,0.003194945,0.077976858
Bangladesh,01/04/2021,4,2021,0.004257063,0.004257063,0.236053405,0.003194945,0.332436965
Bangladesh,01/05/2021,5,2021,0.00474237,0.00474237,0.114000568,0.003194945,0.484335536
Bangladesh,01/06/2021,6,2021,0.005118687,0.005118687,0.079352076,0.003194945,0.602120642
Bangladesh,01/07/2021,7,2021,0.006548887,0.006548887,0.279407675,0.003194945,1.049765446
Bangladesh,01/08/2021,8,2021,0.008570405,0.008570405,0.308681102,0.003194945,1.682489303
Bangladesh,01/09/2021,9,2021,0.009318055,0.009318055,0.087236278,0.003194945,1.916499685
Bangladesh,01/10/2021,10,2021,0.009499229,0.009499229,0.01944328,0.003194945,1.973206004
Bangladesh,01/11/2021,11,2021,0.009550946,0.009550946,0.005444293,0.003194945,1.989393007
Bangladesh,01/12/2021,12,2021,0.009597144,0.009597144,0.004837023,0.003194945,2.003852771
Barbados,01/01/2021,1,2021,0.003630465,0.003630465,-0.621714024,0.003630465,0
Barbados,01/02/2021,2,2021,0.007864274,0.007864274,1.166189254,0.003630465,1.166189254
Barbados,01/03/2021,3,2021,0.011952965,0.011952965,0.519906976,0.003630465,2.292406159
Barbados,01/04/2021,4,2021,0.01307172,0.01307172,0.093596474,0.003630465,2.600563766
Barbados,01/05/2021,5,2021,0.013781219,0.013781219,0.05427735,0.003630465,2.795992827
Barbados,01/06/2021,6,2021,0.014072053,0.014072053,0.02110369,0.003630465,2.876102282
Barbados,01/07/2021,7,2021,0.01472324,0.01472324,0.046275194,0.003630465,3.055469668
Barbados,01/08/2021,8,2021,0.016011336,0.016011336,0.08748723,0.003630465,3.410271474
Barbados,01/09/2021,9,2021,0.022177603,0.022177603,0.385118868,0.003630465,5.108750232
Barbados,01/10/2021,10,2021,0.044765331,0.044765331,1.018492761,0.003630465,11.33046812
Barbados,01/11/2021,11,2021,0.077325594,0.077325594,0.727354444,0.003630465,20.2990889
Barbados,01/12/2021,12,2021,0.093887849,0.093887849,0.214188527,0.003630465,24.86110939
Belarus,01/01/2021,1,2021,0.023582582,0.023582582,-0.74882179,0.023582582,0
Belarus,01/02/2021,2,2021,0.028425005,0.028425005,0.205338982,0.023582582,0.205338982
Belarus,01/03/2021,3,2021,0.032266237,0.032266237,0.135135658,0.023582582,0.368223258
Belarus,01/04/2021,4,2021,0.036085552,0.036085552,0.118368779,0.023582582,0.530178175
Belarus,01/05/2021,5,2021,0.039886433,0.039886433,0.105329712,0.023582582,0.691351402
Belarus,01/06/2021,6,2021,0.043058889,0.043058889,0.079537225,0.023582582,0.825876798
