"month","year","country","value","date","log_value"
"01","2021","Armenia",55.2586323133833,Jan 2021,4.01202456915973
"02","2021","Armenia",57.1425389576774,Feb 2021,4.04554882979652
"03","2021","Armenia",60.996293347937,Mar 2021,4.11081309753914
"04","2021","Armenia",69.475489729577,Apr 2021,4.24097402460807
"05","2021","Armenia",74.3737002947978,May 2021,4.30910238868517
"06","2021","Armenia",75.5565372157582,Jun 2021,4.32488121331104
"07","2021","Armenia",76.704958817118,Jul 2021,4.33996635839702
"08","2021","Armenia",79.4506294310921,Aug 2021,4.37513581530618
"09","2021","Armenia",84.8319887438297,Sep 2021,4.44067269741882
"10","2021","Armenia",95.2562465154951,Oct 2021,4.55657059207169
"11","2021","Armenia",110.620760965891,Nov 2021,4.7061077836415
"12","2021","Armenia",115.679388389237,Dec 2021,4.75082247130482
"01","2021","Australia",3.87676547021971,Jan 2021,1.35500116426676
"02","2021","Australia",3.90675408592667,Feb 2021,1.36270687217408
"03","2021","Australia",3.94059387319695,Mar 2021,1.37133144118914
"04","2021","Australia",3.99111179164725,Apr 2021,1.38406983661072
"05","2021","Australia",4.05218128890951,May 2021,1.39925532598519
"06","2021","Australia",4.09865024430971,Jun 2021,1.41065771080423
"07","2021","Australia",4.32791196597798,Jul 2021,1.46508520075921
"08","2021","Australia",5.67286105900556,Aug 2021,1.73569358641848
"09","2021","Australia",10.9844998137598,Sep 2021,2.39648517123228
"10","2021","Australia",19.2386141367006,Oct 2021,2.95691941232624
"11","2021","Australia",26.0294875774402,Nov 2021,3.25923003296715
"12","2021","Australia",35.705727238066,Dec 2021,3.57531110275517
"01","2021","Austria",42.8524053146436,Jan 2021,3.75776177683228
"02","2021","Austria",47.6841428634876,Feb 2021,3.8645989078979
"03","2021","Austria",54.7626848864463,Mar 2021,4.0030090292849
"04","2021","Austria",64.2314983419198,Apr 2021,4.16249371875598
"05","2021","Austria",69.9214429595585,May 2021,4.24737236842779
"06","2021","Austria",71.4825938591816,Jun 2021,4.26945397753409
"07","2021","Austria",72.066949524066,Jul 2021,4.27759554147008
"08","2021","Austria",73.9453234689024,Aug 2021,4.30332594806183
"09","2021","Austria",78.9350980043821,Sep 2021,4.36862597056627
"10","2021","Austria",85.7356668233056,Oct 2021,4.45126892132618
"11","2021","Austria",108.123208681234,Nov 2021,4.68327139800483
"12","2021","Austria",136.304523951427,Dec 2021,4.91489152928466
"01","2021","Azerbaijan",22.2912900036325,Jan 2021,3.104196019372
"02","2021","Azerbaijan",22.9038076851139,Feb 2021,3.13130317119725
"03","2021","Azerbaijan",24.0552943123753,Mar 2021,3.18035511005372
"04","2021","Azerbaijan",28.9835448479125,Apr 2021,3.36672824990587
