"country","date","month","year","value","min","max","normalised_value"
"Belgium",Apr 2021,"04","2021",1139.77614142275,820.534270797863,2381.27334512173,0.204545318225717
"Belgium",May 2021,"05","2021",1249.55202893231,820.534270797863,2381.27334512173,0.274881154186713
"Belgium",Jun 2021,"06","2021",1304.85337282848,820.534270797863,2381.27334512173,0.310313946769373
"Belgium",Jul 2021,"07","2021",1337.41767375494,820.534270797863,2381.27334512173,0.331178613684029
"Belgium",Aug 2021,"08","2021",1400.00987047623,820.534270797863,2381.27334512173,0.371282816718997
"Belgium",Sep 2021,"09","2021",1473.3936973794,820.534270797863,2381.27334512173,0.41830145558723
"Belgium",Oct 2021,"10","2021",1565.40332157032,820.534270797863,2381.27334512173,0.477254054201944
"Belgium",Nov 2021,"11","2021",1863.30327580297,820.534270797863,2381.27334512173,0.668125135174724
"Belgium",Dec 2021,"12","2021",2381.27334512173,820.534270797863,2381.27334512173,1
"Belize",Jan 2021,"01","2021",28.8239303256116,28.8239303256116,78.5982696604182,0
"Belize",Feb 2021,"02","2021",30.5565565486445,28.8239303256116,78.5982696604182,0.0348096277356576
"Belize",Mar 2021,"03","2021",31.1315257169435,28.8239303256116,78.5982696604182,0.0463611455655868
"Belize",Apr 2021,"04","2021",31.5354738976731,28.8239303256116,78.5982696604182,0.0544767365734848
"Belize",May 2021,"05","2021",32.0175209802234,28.8239303256116,78.5982696604182,0.0641613871181733
"Belize",Jun 2021,"06","2021",32.6827137735012,28.8239303256116,78.5982696604182,0.0775255583390788
"Belize",Jul 2021,"07","2021",34.4491605760746,28.8239303256116,78.5982696604182,0.113014664295692
"Belize",Aug 2021,"08","2021",37.9740766271918,28.8239303256116,78.5982696604182,0.183832601775623
"Belize",Sep 2021,"09","2021",46.0177740444628,28.8239303256116,78.5982696604182,0.345435900277791
"Belize",Oct 2021,"10","2021",60.1180358894201,28.8239303256116,78.5982696604182,0.628719657197436
"Belize",Nov 2021,"11","2021",72.9562405741481,28.8239303256116,78.5982696604182,0.886647835779013
"Belize",Dec 2021,"12","2021",78.5982696604182,28.8239303256116,78.5982696604182,1
"Benin",Jan 2021,"01","2021",0.286935893083763,0.286935893083763,2.05413966970463,0
"Benin",Feb 2021,"02","2021",0.394494564411611,0.286935893083763,2.05413966970463,0.0608637627141758
"Benin",Mar 2021,"03","2021",0.540946374050807,0.286935893083763,2.05413966970463,0.143735818317877
"Benin",Apr 2021,"04","2021",0.62461516617425,0.286935893083763,2.05413966970463,0.191081117841529
"Benin",May 2021,"05","2021",0.657835046175855,0.286935893083763,2.05413966970463,0.209879108453073
"Benin",Jun 2021,"06","2021",0.670488650491947,0.286935893083763,2.05413966970463,0.217039349101883
"Benin",Jul 2021,"07","2021",0.681857239532064,0.286935893083763,2.05413966970463,0.223472443683571
"Benin",Aug 2021,"08","2021",0.842405210348814,0.286935893083763,2.05413966970463,0.314321033382569
"Benin",Sep 2021,"09","2021",1.68063465322159,0.286935893083763,2.05413966970463,0.788646322838198
"Benin",Oct 2021,"10","2021",2.01590585309682,0.286935893083763,2.05413966970463,0.978364794646984
"Benin",Nov 2021,"11","2021",2.04790848091403,0.286935893083763,2.05413966970463,0.996473984000578
"Benin",Dec 2021,"12","2021",2.05413966970463,0.286935893083763,2.05413966970463,1
"Bhutan",Jan 2021,"01","2021",1.0574427093811,1.0574427093811,3.43658429031606,0
"Bhutan",Feb 2021,"02","2021",1.11931718458056,1.0574427093811,3.43658429031606,0.0260070588885013
"Bhutan",Mar 2021,"03","2021",1.12596285647826,1.0574427093811,3.43658429031606,0.0288003654957915
"Bhutan",Apr 2021,"04","2021",1.23853266494905,1.0574427093811,3.43658429031606,0.0761156700463313
"Bhutan",May 2021,"05","2021",1.70526955466336,1.0574427093811,3.43658429031606,0.272294364687484
"Bhutan",Jun 2021,"06","2021",2.40345320359628,1.0574427093811,3.43658429031606,0.565754684379155
"Bhutan",Jul 2021,"07","2021",3.05368250431062,1.0574427093811,3.43658429031606,0.839058848336818
"Bhutan",Aug 2021,"08","2021",3.32717780773322,1.0574427093811,3.43658429031606,0.954014303537226
"Bhutan",Sep 2021,"09","2021",3.36602679412278,1.0574427093811,3.43658429031606,0.970343296608035
"Bhutan",Oct 2021,"10","2021",3.38884175951377,1.0574427093811,3.43658429031606,0.979932875292133
"Bhutan",Nov 2021,"11","2021",3.40607282762148,1.0574427093811,3.43658429031606,0.987175432122628
"Bhutan",Dec 2021,"12","2021",3.43658429031606,1.0574427093811,3.43658429031606,1
"Bolivia",Jan 2021,"01","2021",15.9684041872328,15.9684041872328,48.0669225310038,0
"Bolivia",Feb 2021,"02","2021",20.2044020818051,15.9684041872328,48.0669225310038,0.13196864257737
"Bolivia",Mar 2021,"03","2021",22.3655109624517,15.9684041872328,48.0669225310038,0.199296014436138
"Bolivia",Apr 2021,"04","2021",24.6138827091637,15.9684041872328,48.0669225310038,0.269341981126322
"Bolivia",May 2021,"05","2021",28.6381759237055,15.9684041872328,48.0669225310038,0.394715157901715
"Bolivia",Jun 2021,"06","2021",35.1296851342812,15.9684041872328,48.0669225310038,0.596952193924763
"Bolivia",Jul 2021,"07","2021",39.3195453852112,15.9684041872328,48.0669225310038,0.727483460385638
"Bolivia",Aug 2021,"08","2021",41.3620536377407,15.9684041872328,48.0669225310038,0.79111593807992
"Bolivia",Sep 2021,"09","2021",42.4847426776146,15.9684041872328,48.0669225310038,0.826092288946026
"Bolivia",Oct 2021,"10","2021",43.3962383188714,15.9684041872328,48.0669225310038,0.854489102515261
"Bolivia",Nov 2021,"11","2021",44.9829260254558,15.9684041872328,48.0669225310038,0.903920907734156
"Bolivia",Dec 2021,"12","2021",48.0669225310038,15.9684041872328,48.0669225310038,1
"Bosnia and Herzegovina",Jan 2021,"01","2021",35.712035163568,35.712035163568,86.36260866141,0
"Bosnia and Herzegovina",Feb 2021,"02","2021",38.4845903925005,35.712035163568,86.36260866141,0.0547388713979836
"Bosnia and Herzegovina",Mar 2021,"03","2021",45.0740185377817,35.712035163568,86.36260866141,0.184834696385276
"Bosnia and Herzegovina",Apr 2021,"04","2021",56.9281819710448,35.712035163568,86.36260866141,0.418872785485454
"Bosnia and Herzegovina",May 2021,"05","2021",61.5548270780279,35.712035163568,86.36260866141,0.510217163001341
"Bosnia and Herzegovina",Jun 2021,"06","2021",62.382223116309,35.712035163568,86.36260866141,0.526552536544869
"Bosnia and Herzegovina",Jul 2021,"07","2021",62.5690223608384,35.712035163568,86.36260866141,0.530240535152375
"Bosnia and Herzegovina",Aug 2021,"08","2021",63.5352653572064,35.712035163568,86.36260866141,0.549317179889856
"Bosnia and Herzegovina",Sep 2021,"09","2021",68.3534731461542,35.712035163568,86.36260866141,0.644443601097171
"Bosnia and Herzegovina",Oct 2021,"10","2021",74.4281822578212,35.712035163568,86.36260866141,0.764377270000757
