"country","date","month","year","covid_rate","death_rate"
"Bosnia and Herzegovina",Sep 2021,"09","2021",68.353,3.098
"Botswana",Apr 2021,"04","2021",18.646,0.28
"Botswana",Aug 2021,"08","2021",58.663,0.838
"Botswana",Dec 2021,"12","2021",85.935,1.031
"Botswana",Feb 2021,"02","2021",10.865,0.095
"Botswana",Jan 2021,"01","2021",7.631,0.034
"Botswana",Jul 2021,"07","2021",36.859,0.556
"Botswana",Jun 2021,"06","2021",26.376,0.41
"Botswana",Mar 2021,"03","2021",14.916,0.188
"Botswana",May 2021,"05","2021",21.451,0.328
"Botswana",Nov 2021,"11","2021",82.17,1.026
"Botswana",Oct 2021,"10","2021",77.727,1.015
"Botswana",Sep 2021,"09","2021",71.749,0.991
"Brazil",Apr 2021,"04","2021",4589.735,121.911
"Brazil",Aug 2021,"08","2021",6799.93,190.013
"Brazil",Dec 2021,"12","2021",7403.875,205.906
"Brazil",Feb 2021,"02","2021",3296.058,80.044
"Brazil",Jan 2021,"01","2021",2811.936,69.798
"Brazil",Jul 2021,"07","2021",6434.516,179.938
"Brazil",Jun 2021,"06","2021",5875.846,164.288
"Brazil",Mar 2021,"03","2021",3887.959,95.083
"Brazil",May 2021,"05","2021",5216.017,145.369
"Brazil",Nov 2021,"11","2021",7325.224,203.965
"Brazil",Oct 2021,"10","2021",7215.804,201.105
"Brazil",Sep 2021,"09","2021",7041.827,196.455
"Brunei",Apr 2021,"04","2021",0.502,0.007
"Brunei",Aug 2021,"08","2021",2.602,0.009
"Brunei",Dec 2021,"12","2021",35.069,0.224
"Brunei",Feb 2021,"02","2021",0.419,0.007
"Brunei",Jan 2021,"01","2021",0.397,0.007
"Brunei",Jul 2021,"07","2021",0.667,0.007
"Brunei",Jun 2021,"06","2021",0.573,0.007
"Brunei",Mar 2021,"03","2021",0.454,0.007
"Brunei",May 2021,"05","2021",0.533,0.007
"Brunei",Nov 2021,"11","2021",32.566,0.216
"Brunei",Oct 2021,"10","2021",23.634,0.16
"Brunei",Sep 2021,"09","2021",10.85,0.055
"Bulgaria",Apr 2021,"04","2021",54.7,2.151
"Bulgaria",Aug 2021,"08","2021",62.89,2.652
"Bulgaria",Dec 2021,"12","2021",103.772,4.295
"Bulgaria",Feb 2021,"02","2021",33.368,1.39
"Bulgaria",Jan 2021,"01","2021",30.412,1.214
"Bulgaria",Jul 2021,"07","2021",60.883,2.613
"Bulgaria",Jun 2021,"06","2021",60.524,2.58
"Bulgaria",Mar 2021,"03","2021",41.84,1.671
"Bulgaria",May 2021,"05","2021",59.487,2.478
"Bulgaria",Nov 2021,"11","2021",94.746,3.813
"Bulgaria",Oct 2021,"10","2021",78.531,3.219
"Bulgaria",Sep 2021,"09","2021",68.817,2.856
"Burkina Faso",Apr 2021,"04","2021",0.625,0.007
"Burkina Faso",Aug 2021,"08","2021",0.654,0.008
"Burkina Faso",Dec 2021,"12","2021",0.798,0.014
"Burkina Faso",Feb 2021,"02","2021",0.552,0.007
"Burkina Faso",Jan 2021,"01","2021",0.426,0.005
"Burkina Faso",Jul 2021,"07","2021",0.647,0.008
"Burkina Faso",Jun 2021,"06","2021",0.644,0.008
"Burkina Faso",Mar 2021,"03","2021",0.593,0.007
"Burkina Faso",May 2021,"05","2021",0.641,0.008
"Burkina Faso",Nov 2021,"11","2021",0.735,0.012
"Burkina Faso",Oct 2021,"10","2021",0.699,0.01
"Burkina Faso",Sep 2021,"09","2021",0.669,0.008
"Burma",Apr 2021,"04","2021",2.621,0.059
"Burma",Aug 2021,"08","2021",6.513,0.241
"Burma",Dec 2021,"12","2021",9.691,0.353
"Burma",Feb 2021,"02","2021",2.601,0.059
"Burma",Jan 2021,"01","2021",2.452,0.054
"Burma",Jul 2021,"07","2021",4.086,0.097
"Burma",Jun 2021,"06","2021",2.714,0.06
